city,query,business_name,address,phone,email,website,maps_url,pagesjaunes_url,website_source
Paris,boutique CBD,CBD Paris 4 - Le Chanvrier Francais - Le marais,"7 Rue de Turenne, 75004 Paris, France",+33175572198,marc.vdwiele@gmail.com,https://lechanvrierfrancais.com/,https://www.google.com/maps/place/CBD+Paris+4+-+Le+Chanvrier+Francais+-+Le+marais/data=!4m7!3m6!1s0x47e67137253a7369:0x94eac65667b31e5!8m2!3d48.855317!4d2.363312!16s%2Fg%2F11j242gly1!19sChIJaXM6JTdx5kcR5TF7ZmWsTgk?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,Le Lab Paris - CBD Shop Saint Paul,"Le Lab Shop, 6 Rue de Sévigné, 75004 Paris, France",+33603105743,,https://lelabshop.fr/,https://www.google.com/maps/place/Le+Lab+Paris+-+CBD+Shop+Saint+Paul/data=!4m7!3m6!1s0x47e671bfc857f0c5:0x278627102651785!8m2!3d48.8553464!4d2.3620271!16s%2Fg%2F11gjw32rv5!19sChIJxfBXyL9x5kcRhRdlAnFieAI?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,Le Lab du Bonheur CBD Paris République - Magasin de CBD,"47 Rue de Malte, 75011 Paris, France",+33143577759,merlin@lelabdubonheur.fr,https://lelabdubonheur.fr/content/24-boutique-paris-republique-cbd,https://www.google.com/maps/place/Le+Lab+du+Bonheur+CBD+Paris+R%C3%A9publique+-+Magasin+de+CBD/data=!4m7!3m6!1s0x47e66f8f2279f091:0xbcd0a30176473eb2!8m2!3d48.8657393!4d2.367633!16s%2Fg%2F11gh_jg58c!19sChIJkfB5Io9v5kcRsj5HdgGj0Lw?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,Origine CBD : Boutique CBD | CBD Shop Paris : Fleurs et Résines - THC-X - CPR - Huiles et Produits Sans THC,"17 Rue de l'Arsenal, 75004 Paris, France",+33982596490,contact@originecbd.fr,https://originecbd.fr/,https://www.google.com/maps/place/Origine+CBD+:+Boutique+CBD+%7C+CBD+Shop+Paris+:+Fleurs+et+R%C3%A9sines+-+THC-X+-+CPR+-+Huiles+et+Produits+Sans+THC/data=!4m7!3m6!1s0x47e671e68429c67b:0xcf0c143adb6b23d4!8m2!3d48.8516909!4d2.3667976!16s%2Fg%2F11qmc6v4s3!19sChIJe8YphOZx5kcR1CNr2zoUDM8?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,Green House,"3 Rue Seveste, 75018 Paris, France",+33184606060,,https://greenhousecbdshop.com/,https://www.google.com/maps/place/Green+House/data=!4m7!3m6!1s0x47e66fc46ca2735b:0xff463e035f92c58f!8m2!3d48.8834401!4d2.3450119!16s%2Fg%2F11f6cs_3cx!19sChIJW3OibMRv5kcRj8WSXwM-Rv8?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,CBD LOVELY PARIS | BOUTIQUE CBD SHOP PARIS 13,"147 Rue du Chevaleret, 75013 Paris, France",+33667263141,,https://cbdlovely.com/,https://www.google.com/maps/place/CBD+LOVELY+PARIS+%7C+BOUTIQUE+CBD+SHOP+PARIS+13/data=!4m7!3m6!1s0x47e673ef2dee5ef1:0x4650e33879ae34cb!8m2!3d48.8322156!4d2.3715932!16s%2Fg%2F11pwvgnld2!19sChIJ8V7uLe9z5kcRyzSueTjjUEY?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,Green Vallée - CBD shop Paris 15 - Convention/Vaugirard,"35 Rue Victor Duruy, 75015 Paris, France",+33660860441,contact@greenvallee.fr,https://greenvallee.fr/?utm_source=google&utm_medium=gmb&utm_campaign=p15,https://www.google.com/maps/place/Green+Vall%C3%A9e+-+CBD+shop+Paris+15+-+Convention%2FVaugirard/data=!4m7!3m6!1s0x47e671533243a809:0xa07f3734cab560cf!8m2!3d48.8363679!4d2.3003858!16s%2Fg%2F11k2xw_kt3!19sChIJCahDMlNx5kcRz2C1yjQ3f6A?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,CBD Shop France Paris 13ème,"196 Rue de Tolbiac, 75013 Paris, France",+33153629049,contact@cbdshopfrance.fr,https://cbdshopfrance.fr/boutiques/paris-13eme/,https://www.google.com/maps/place/CBD+Shop+France+Paris+13%C3%A8me/data=!4m7!3m6!1s0x47e671eecf5358a9:0x53185306adf7f667!8m2!3d48.8258752!4d2.3490363!16s%2Fg%2F11qsvxfmpb!19sChIJqVhTz-5x5kcRZ_b3rQZTGFM?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,CBD.FR,"10 Rue de la Paix, 75002 Paris, France",+33189720196,support@cbd.fr,https://www.cbd.fr/,https://www.google.com/maps/place/CBD.FR/data=!4m7!3m6!1s0x47f71bee2c6db677:0x1770658010e6fa2c!8m2!3d48.8689443!4d2.3312533!16s%2Fg%2F11flgnyzr6!19sChIJd7ZtLO4b90cRLPrmEIBlcBc?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
Paris,boutique CBD,La Voie Verte CBD Shop,"96 Bd du Montparnasse, 75014 Paris, France",+33759721816,infos@lavoieverte.paris,https://lavoieverte.paris/,https://www.google.com/maps/place/La+Voie+Verte+CBD+Shop/data=!4m7!3m6!1s0x47e6718d8c1f2771:0xfee5e257dc39c439!8m2!3d48.8424671!4d2.3273556!16s%2Fg%2F11yv_66n9b!19sChIJcScfjI1x5kcROcQ53Ffi5f4?authuser=0&hl=fr&g_ep=EgoyMDI2MDkxMy4wIJJjKgBIAVAD&rclk=1,,gmb
